model,threshold,precision,recall,flagged,total,flag_rate
Logistic Regression,0.01,0.0016822933022295995,1.0,44582,56961,0.7826758659433648
Logistic Regression,0.02,0.0021403498758597074,1.0,35041,56961,0.615175295377539
Logistic Regression,0.05,0.0038457594092913545,1.0,19502,56961,0.34237460718737384
Logistic Regression,0.1,0.006598894239343678,0.9866666666666667,11214,56961,0.1968715436877864
Logistic Regression,0.2,0.012006861063464836,0.9333333333333333,5830,56961,0.10235073120205053
Logistic Regression,0.3,0.019827586206896553,0.92,3480,56961,0.06109443303312793
Logistic Regression,0.5,0.04389928986442866,0.9066666666666666,1549,56961,0.027194045048366425
Random Forest,0.01,0.16028708133971292,0.8933333333333333,418,56961,0.007338354312599849
Random Forest,0.02,0.32142857142857145,0.84,196,56961,0.003440950826003757
Random Forest,0.05,0.61,0.8133333333333334,100,56961,0.001755587156124366
Random Forest,0.1,0.8082191780821918,0.7866666666666666,73,56961,0.001281578623970787
Random Forest,0.2,0.9193548387096774,0.76,62,56961,0.0010884640367971067
Random Forest,0.3,0.95,0.76,60,56961,0.0010533522936746196
Random Forest,0.5,0.9807692307692307,0.68,52,56961,0.0009129053211846702
